user_filter,user_init,item_filter,item_init,bipartite_filter,bipartite_init,recall20,precision20,ndcg20,use_test,timestamp
golden,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.2909,0.2437,0.3488,False,2025-06-12T12:18:56.202914
multiscale,golden_036,enhanced_basis,smooth,bandstop,sharp,0.3275,0.258,0.3789,False,2025-06-12T12:18:58.516333
bandstop,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.3108,0.2573,0.3691,False,2025-06-12T12:19:00.577570
multiscale,golden_036,enhanced_basis,sharp,enhanced_basis,sharp,0.3295,0.2616,0.3818,False,2025-06-12T12:19:03.184468
multiscale,golden_036,enhanced_basis,gaussian,enhanced_basis,sharp,0.3295,0.2616,0.3818,False,2025-06-12T12:19:05.798376
spectral_basis,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.2948,0.248,0.3544,False,2025-06-12T12:19:08.132978
bernstein,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.321,0.2608,0.3754,False,2025-06-12T12:19:10.207486
multiscale,butterworth,enhanced_basis,smooth,enhanced_basis,sharp,0.3295,0.2616,0.3818,False,2025-06-12T12:19:12.795452
multiscale,golden_036,hermite,smooth,enhanced_basis,sharp,0.3337,0.2647,0.386,False,2025-06-12T12:19:14.844434
multiscale,band_stop,enhanced_basis,smooth,enhanced_basis,sharp,0.3295,0.2616,0.3818,False,2025-06-12T12:19:17.447610
multiscale,golden_036,enhanced_basis,smooth,hermite,sharp,0.3249,0.2577,0.3763,False,2025-06-12T12:19:19.773702
multiscale,golden_036,chebyshev,smooth,enhanced_basis,sharp,0.3294,0.2619,0.3821,False,2025-06-12T12:19:21.826821
multiscale,golden_036,enhanced_basis,smooth,golden,sharp,0.3286,0.2602,0.3812,False,2025-06-12T12:19:24.140441
parametric,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.3227,0.2615,0.378,False,2025-06-12T12:19:26.490779
multiscale,smooth,enhanced_basis,smooth,enhanced_basis,sharp,0.3295,0.2616,0.3818,False,2025-06-12T12:19:29.070076
multiscale,golden_036,enhanced_basis,smooth,legendre,sharp,0.3278,0.2586,0.3791,False,2025-06-12T12:19:31.373423
multiscale,golden_036,enhanced_basis,smooth,enhanced_basis,butterworth,0.3295,0.2616,0.3818,False,2025-06-12T12:19:33.944568
multiscale,golden_036,bernstein,smooth,enhanced_basis,sharp,0.3316,0.2623,0.3836,False,2025-06-12T12:19:36.031702
adaptive_bandstop,golden_036,enhanced_basis,smooth,enhanced_basis,sharp,0.3041,0.2533,0.363,False,2025-06-12T12:19:38.071013
