u_eigen,i_eigen,b_eigen,ndcg,recall,precision
60,275,175,0.08065834525625205,0.11251435567399173,0.03361745595820217
35,275,250,0.08064362844269546,0.11252920173304394,0.033612432178980516
60,275,150,0.08063462572513365,0.11237749166839048,0.033600710027463336
10,275,275,0.0806258765233393,0.11252053553172865,0.03361745595820215
35,275,225,0.08062095452884527,0.1124791163065416,0.03361578136512827
10,275,250,0.08060250937009106,0.1125222740618806,0.03361075758590662
60,275,125,0.0806024187563218,0.11236127564543699,0.0335940116551678
35,275,200,0.08057982538170622,0.11247535691987977,0.03360573380668498
60,275,100,0.08056760925879825,0.11242252221006306,0.033594011655167795
10,275,225,0.08055955648576174,0.11248582457076785,0.033614106772054404
85,275,50,0.08055374165752079,0.11249493449033164,0.03359401165516779
35,275,175,0.08047804369935349,0.11232538430315164,0.03357894031750285
10,275,200,0.0804752911330447,0.11238026654386905,0.0335839640967245
60,275,75,0.08047173965215867,0.11228548330288686,0.03356721816598565
35,275,150,0.08046001484471531,0.11228794572190469,0.03356219438676402
35,275,125,0.08043758933994602,0.11226590648834392,0.03356051979369013
10,275,175,0.08037034719838781,0.11222827296634759,0.03354544845602519
10,275,150,0.08036336477805306,0.11221312075647392,0.033543773862951314
10,275,125,0.08035544756850571,0.11218810562542911,0.03353875008372966
60,275,50,0.08035064586586618,0.11216838221619266,0.033533726304508
35,275,100,0.08034642457164498,0.11214431867551355,0.033525353339138586
10,275,100,0.08022581966755755,0.11194125413141023,0.0334851631053654
35,275,75,0.08020850178193269,0.11196319546698925,0.033486837698439284
35,275,50,0.0801120974253407,0.11196521382175509,0.03347009176770045
10,275,75,0.08010889705180359,0.11178367965168336,0.03345669502310939
10,275,50,0.07999249900870273,0.11173678194434605,0.03343157612700114
135,250,400,0.07652424926390003,0.10669769182866425,0.0316079442695425
135,250,375,0.07586517869574792,0.10572147355307925,0.03132326344698239
110,250,400,0.07582254349953366,0.1058557812237463,0.0313517315292384
135,250,350,0.07558483704113514,0.10548569090566633,0.031221113269475513
135,250,325,0.07533346285763863,0.10510668166825388,0.031134034429633597
135,250,300,0.07530342559187428,0.1051433052288118,0.03113403442963359
85,250,400,0.07530293070157089,0.10520742288241332,0.031150780360372426
135,250,275,0.0752832118351886,0.10520627105957418,0.031149105767298558
135,250,250,0.0752547881485622,0.10517804564749016,0.03114073280192914
60,250,400,0.07520486357806083,0.10513754569404614,0.03116752629111126
135,250,225,0.0751767507265083,0.10504527260266655,0.031108915533525353
135,250,200,0.07513185546958684,0.10506543470874852,0.031113939312747006
